firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
American Power Conversion,19880722,APCC,29066107,11970,2623105,0,1981,0
American Publishing,19940504,AMPC,29139102,80504,22290000,1,1953,0
American Railcar Industries,20060119,ARII,02916P103,91075,21207773,0,1988,0
American Re,19930128,ARN,29163102,78859,45286000,0,1992,0
American Recreation Company,19931217,AMRE,28907103,79938,8056434,0,1941,0
American Safety Razor,19930608,RAZR,29362100,79301,12092849,1,1900,0
American Superconductor,19911211,AMSC,30111108,77175,4836575,0,1987,0
American Technical Ceramics,19850628,ATCC,3013700,69200,3951728,0,1966,0
American Television & Commun,19860812,ATCM,30187108,10570,101500000,1,1968,0
American Wagering,19960510,BETM,30405104,83479,7500000,0,1978,0
American Water Works Co Inc,20080422,AWK,30420103,92614,160000000,0,1886,0
American Woodmark,19860718,AMWD,30506109,10501,6892400,0,1980,0
American Xtal Technology,19980520,AXTI,30514103,86051,15690268,0,1986,0
AmeriCare Health Corp,19850508,AMHC,3.06E+03,85519,8619095,0,1978,1
Amerigon,19930610,ARGNA,03070L102,79248,6000000,1,1991,0
AMERISAFE,20051117,AMSF,03071H10,90963,-9,0,1986,0
AmeriTrade Holding Corp,19970303,AMTD,03072H109,84597,14513823,1,1971,0
AMF Bowling Inc,19971103,PIN,03113V109,85597,55725000,0,1946,0
AMGEN,19830617,AMGN,3116210,14008,10589000,0,1980,0
Amicus Therapeutics Inc,20070530,FOLD,03152W109,92040,22234426,0,2002,0
AMISTAR CORPORATION,19840511,AMTA,3153510,14059,3438000,0,1971,0
Amkor Technology Inc,19980430,AMKR,31652100,86047,112610000,0,1970,0
AML Communications,19951212,AMLJ,1733104,82667,3601829,0,1986,0
AMPAD CORP.,19830913,AMPD,3200910,14104,2698000,0,1900,0
Ampex,19920717,AMPX,32092108,77781,17000100,0,1944,0
Amphastar Pharmaceuticals Inc,20140625,AMPH,03209R103,14688,43405940,0,1996,0
Amphenol,19911108,APH,3209420,77118,28890809,1,1932,0
Amplicon,19870408,AMPI,32101107,11246,6500000,0,1972,0
Amtech,19891108,AMTC,32329104,75853,6187421,0,1983,0
Amtran,19930510,AMTR,03234G106,79149,11740000,0,1985,0
Amtrol,19930318,AMTL,03234A109,78951,7137487,0,1946,0
AMX,19951115,AMXX,180110,82549,7482120,0,1992,0
Amylin Pharmaceuticals,19920117,AMLN,32346108,77264,16751358,0,1987,0
Amyris Inc,20100927,AMRS,03236M10,12307,42982681,0,2003,0
Anacor Pharmaceuticals Inc,20101123,ANAC,3242010,12392,26614227,0,2002,0
ANADIGICS,19950420,ANAD,32515108,81539,7674845,0,1984,0
Anadys Pharmaceuticals Inc,20040326,ANDS,03252Q408,90079,22380804,0,1992,0
Analogy,19960321,ANLG,32659104,83235,8290000,0,1985,0
Analysis & Technology,19860211,AATI,32672107,10043,1985881,0,1969,0
Ancestry.com,20091105,ACOM,32803108,93124,42402916,0,1998,0
Anchor Gaming,19940128,SLOT,33037102,80153,10800811,0,1989,0
Anchor Glass Container,19860610,AGLS,33038100,75031,6475511,0,1983,0
Anchor Glass Container Corp,20030924,AGCC,03304B300,89829,23382354,0,1993,0
Ancor Communication,19940503,ANCR,03332K108,80505,6527000,0,1986,0
