ipo_firm,assignee_firm,ticker,is_common,patent_cnt
Adept Technology,Adept Water Technologies A/S,ADTK,1,1
Adept Technology,"Adept-Med International, Inc.",ADTK,1,6
ADESA,ADESA AUCTIONS CANADA CORPORATION,SOLD,0,1
ADESA Inc,ADESA AUCTIONS CANADA CORPORATION,KAR,0,1
ADESA,"ADESA, Inc.",SOLD,0,2
ADESA Inc,"ADESA, Inc.",KAR,0,2
Adesto Technologies Corp,Adesto Technologies Corporation,IOTS,0,118
Adesto Technologies Corp,Adesto Technologies France SARL,IOTS,0,1
Adeza Biomedical Corp,Adeza Biomedical Corporation,ADZA,0,22
ADMA Biologics,"ADMA BIOLOGICS, INC.",ADMA,0,5
Adobe Systems,Adobe Systems Canada Inc.,ADBE,1,1
Adobe Systems,Adobe Systems Incorpoated,ADBE,1,1
Adobe Systems,Adobe Systems Incorporated,ADBE,1,3796
Adobe Systems,Adobe Systems Israel Ltd.,ADBE,1,1
Adolor Corp,Adolor Corporation,ADLR,0,73
Adtec,Adtec Corporation Limited,JAIL,0,4
Adtec,"Adtec Engineering Co., Ltd.",JAIL,0,21
Adtec,Adtec Europe Limited,JAIL,0,1
Adtec,Adtec Incorporated,JAIL,0,4
Adtec,Adtec International Ltd.,JAIL,0,1
Adtec,"Adtec Plasma Technology Co., Ltd.",JAIL,0,4
Adtec,Adtec Services Limited,JAIL,0,1
ADTRAN,"ADTRAN, Inc.",ADTN,0,500
Aduro BioTech Inc,"ADURO BIOTECH HOLDINGS, EUROPE B.V.",ADRO,0,5
Aduro BioTech Inc,"ADURO BIOTECH, INC.",ADRO,0,27
Advanced Accelerator,ADVANCED ACCELERATOR APPLICATIONS (ITALY) S.R.L.,AAAP,1,2
Advanced Accelerator,Advanced Accelerator Applications S.A.,AAAP,1,13
Advanced Accelerator,"Advanced Accelerator Applications USA, Inc.",AAAP,1,1
Advanced Analogic Technologies,Advanced Analogic Technologies (Hong Kong) Limited,AATI,0,55
Advanced Analogic Technologies,"Advanced Analogic Technologies, Inc.",AATI,0,175
Advanced Deposition,"Advanced Deposition Technologies, Inc.",ADTC,1,11
Advanced Drainage Systems Inc,"Advanced Drainage Systems, Inc.",WMS,1,55
Advanced Energy Industries,"Advanced Energy Industries, Inc.",AEIS,1,213
Advanced Fibre Communications,"Advanced Fibre Communications, Inc.",AFCI,1,5
ADVANCED FUEL SYSTEMS,Advanced Fuel Systems,AFSI,1,1
ADVANCED GENETIC SCI,"Advanced Genetic Sciences, Inc.",AGSI,1,3
Advanced Health,Advanced Health Med-E-Systems Corporation,ADVH,1,2
Advanced Health,"Advanced Health Media, LLC",ADVH,1,6
Advanced Health,"ADVANCED HEALTHCARE SYSTEMS, INC.",ADVH,1,5
Advanced Health,ADVANCED HEALTHCARE TECHNOLOGY LIMITED (UK),ADVH,1,1
Advanced Interventional Sys,"Advanced Interventional Systems, Inc.",LAIS,0,10
Advanced Lighting Technologies,Advanced Lighting International,ADLT,1,2
Advanced Lighting Technologies,"Advanced Lighting International, Inc.",ADLT,1,1
